"Story","Title","Result","Date","Stability","Duration (s)"
"Test accept privacy policy","Invalid accept privacy policy should not initialize the app with mock objects","SUCCESS","2023-11-30T15:25:14.2119196+02:00[Europe/Bucharest]","0.0","6.79"
"Test accept privacy policy","Valid accept privacy policy should initialize the app with mock objects","SUCCESS","2023-11-30T15:25:22.2404958+02:00[Europe/Bucharest]","0.0","5.85"
"Test add plant care","Valid add plant care","SUCCESS","2023-11-30T15:25:31.369927+02:00[Europe/Bucharest]","0.0","12.43"
"Test add plant care","Invalid add plant care","SUCCESS","2023-11-30T15:25:43.8434552+02:00[Europe/Bucharest]","0.0","5.66"
"Test delete transaction","Valid delete transaction","SUCCESS","2023-11-30T15:25:50.6071252+02:00[Europe/Bucharest]","0.0","5.05"
"Test search to add plant not parameterized","Search to add plant","SUCCESS","2023-11-30T15:25:55.8671151+02:00[Europe/Bucharest]","0.0","7.23"
"Test search to add plant not parameterized","Invalid search to add plant because plant id already exist","SUCCESS","2023-11-30T15:26:03.1467783+02:00[Europe/Bucharest]","0.0","5.16"
"Test search to add plant not parameterized","Invalid search to add plant not found","SUCCESS","2023-11-30T15:26:08.3568628+02:00[Europe/Bucharest]","0.0","3.95"
"Test search to add parameterized","Parameterized search to add plant","SUCCESS","2023-11-30T15:26:38.0066986+02:00[Europe/Bucharest]","0.0","24.31"
"Test update plant details not parameterized","Invalid update plant details","SUCCESS","2023-11-30T15:26:38.830076+02:00[Europe/Bucharest]","0.0","8.5"
"Test update plant details not parameterized","Valid update plant details","SUCCESS","2023-11-30T15:26:47.4462641+02:00[Europe/Bucharest]","0.0","9.59"
"Test update plant details parameterized","Parameterized update plant details","SUCCESS","2023-11-30T15:27:50.1051145+02:00[Europe/Bucharest]","0.0","50.91"
